Marque,Modèle,Année,Kilométrage,Carburant,Boîte_vitesse,Puissance_fiscale,Nombre_portes,Etat_generale,Prix,url,title_raw
Mercedes,Classe A,2021,37500,Essence,Automatique,7.0,,1ere main,105,https://www.sparkauto.tn/listing-detail/255/MercedesClasseA,Mercedes Classe A
Ssangyong,Tivoli,2018,61000,Essence,Automatique,8.0,,1ere main,61000,https://www.sparkauto.tn/listing-detail/254/SsangyongTivoli,Ssangyong Tivoli
Toyota,Rav 4,2024,28000,Hybride,Automatique,9.0,,1ere main,154,https://www.sparkauto.tn/listing-detail/253/ToyotaRav4hybride,Toyota Rav 4
Chery,Tiggo 3X,2022,68000,Essence,Automatique,6.0,,1ere main,68000,https://www.sparkauto.tn/listing-detail/249/CheryTiggo3X,Chery Tiggo 3X
Peugeot,208,2018,75000,Essence,Manuelle,5.0,,1 ere Main,500,https://www.sparkauto.tn/listing-detail/248/Peugeot208,Peugeot 208
Geely,GX3,2021,65000,Essence,Manuelle,6.0,,1 ere Main,65000,https://www.sparkauto.tn/listing-detail/247/GeelyGX3,Geely GX3
Opel,Mokka,2022,30000,Essence,Automatique,7.0,,1 ere Main,30000,https://www.sparkauto.tn/listing-detail/246/OpelMokka,Opel Mokka
MG,ZS,2019,85000,Essence,Automatique,,,1ere main,85000,https://www.sparkauto.tn/listing-detail/245/MGZS,MG ZS
Mercedes,Classe A,2019,86000,Diesel,Automatique,6.0,,1 ere Main,115,https://www.sparkauto.tn/listing-detail/244/MercedesClasseA,Mercedes Classe A
Suzuki,Vitara,2017,93000,Essence,Automatique,6.0,,2ème main,500,https://www.sparkauto.tn/listing-detail/243/suzukiVitara,Suzuki Vitara
Mercedes,Classe E 200 Coupe,2014,112000,Essence,Automatique,10.0,,1 ere Main,500,https://www.sparkauto.tn/listing-detail/242/MercedesClasseE200Coupe,Mercedes Classe E 200 Coupe
Citroen,C3,2017,70000,Essence,Manuelle,4.0,,1 ere Main,70000,https://www.sparkauto.tn/listing-detail/235/CitroenC3,Citroen C3
Dacia,Dokker,2021,164000,Diesel,Manuelle,6.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/233/DaciaDokker,Dacia Dokker
BMW,X5,2007,183000,Essence,Automatique,19.0,,1ere main,183000,https://www.sparkauto.tn/listing-detail/232/BMWX5,BMW X5
Ford,EcoSport,2022,16700,Essence,Automatique,7.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/230/FordEcoSport,Ford EcoSport
Kia,Seltos,2022,87000,Essence,Automatique,8.0,,1 ere Main,87000,https://www.sparkauto.tn/listing-detail/228/KiaSeltos,Kia Seltos
Ford,EcoSport,2022,37000,Essence,Automatique,7.0,,1 ere Main,37000,https://www.sparkauto.tn/listing-detail/225/FordEcoSport,Ford EcoSport
Nissan,QASHQAI,2017,73000,Essence,Automatique,6.0,,1 ere Main,73000,https://www.sparkauto.tn/listing-detail/224/NissanQASHQAI,Nissan QASHQAI
Mercedes,Classe C 220,2009,180000,Diesel,Manuelle,10.0,,1 ere Main,500,https://www.sparkauto.tn/listing-detail/223/MercedesClasseC220,Mercedes Classe C 220
Seat,Arona,2022,39000,Essence,Manuelle,6.0,,1 ere Main,39000,https://www.sparkauto.tn/listing-detail/222/SeatArona,Seat Arona
Fiat,Tipo,2021,100000,Essence,Manuelle,5.0,,1 ere Main,100000,https://www.sparkauto.tn/listing-detail/221/Fiattipo,Fiat Tipo
Ford,Kuga,2017,127000,Essence,Manuelle,8.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/220/FordKuga,Ford Kuga
MG,ZS,2022,51500,Essence,Automatique,7.0,,1ere main,51500,https://www.sparkauto.tn/listing-detail/219/MGZS,MG ZS
BMW,Série 4 Gran Coupé,2017,132500,Essence,Automatique,7.0,,1ere main,132500,https://www.sparkauto.tn/listing-detail/218/BMWS%C3%A9rie4GranCoup%C3%A9,BMW Série 4 Gran Coupé
Chery,Tiggo 3X,2023,13000,Essence,Automatique,6.0,,1 ere Main,13000,https://www.sparkauto.tn/listing-detail/217/CheryTiggo3X,Chery Tiggo 3X
Volkswagen,Polo Sedan,2013,81000,Essence,Manuelle,5.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/216/VolkswagenPoloSedan,Volkswagen Polo Sedan
Peugeot,2008,2017,153000,Essence,Manuelle,5.0,,1 ere Main,153000,https://www.sparkauto.tn/listing-detail/212/Peugeot2008,Peugeot 2008
Citroen,C3,2019,81000,Essence,Manuelle,4.0,,1 ere Main,500,https://www.sparkauto.tn/listing-detail/210/CitroenC3,Citroen C3
Audi,A4 35 TFSI,2021,46400,Essence,Manuelle,8.0,,1ere main,116,https://www.sparkauto.tn/listing-detail/208/AudiA435TFSI,Audi A4 35 TFSI
Peugeot,208,2020,38500,Essence,Manuelle,4.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/204/Peugeot208,Peugeot 208
Fiat,500,2018,112000,Essence,Automatique,4.0,,2ème main,500,https://www.sparkauto.tn/listing-detail/199/Fiat500,Fiat 500
Hyundai,I30 1.0T,2021,102000,Essence,Automatique,7.0,,1ere main,102000,https://www.sparkauto.tn/listing-detail/198/HyundaiI301.0T,Hyundai I30 1.0T
Peugeot,2008,2016,142500,Essence,Manuelle,6.0,,1ere main,142500,https://www.sparkauto.tn/listing-detail/196/Peugeot2008,Peugeot 2008
Audi,TT,2022,42000,Essence,Automatique,15.0,,1ere main,235,https://www.sparkauto.tn/listing-detail/192/AudiTT,Audi TT
BMW,Série 4 Gran Coupé,2017,125000,Essence,Automatique,7.0,,1ere main,125000,https://www.sparkauto.tn/listing-detail/191/BMWS%C3%A9rie4GranCoup%C3%A9,BMW Série 4 Gran Coupé
Opel,Combo Cargo,2025,750,Diesel,Manuelle,5.0,,1ere main,10000,https://www.sparkauto.tn/listing-detail/190/OpelComboCargo,Opel Combo Cargo
Honda,CR-V,2021,110000,Essence,Automatique,11.0,,1ere main,110000,https://www.sparkauto.tn/listing-detail/181/HondaCR-V,Honda CR-V
Honda,Civic,2020,159000,Essence,Automatique,10.0,,1ere main,159000,https://www.sparkauto.tn/listing-detail/177/HondaCivic,Honda Civic
Volkswagen,Tiguan R Line,2024,6000,Essence,Automatique,8.0,,1ere main,168,https://www.sparkauto.tn/listing-detail/176/VolkswagenTiguanRLine,Volkswagen Tiguan R Line
Mercedes,CLA 250e,2021,49000,Hybride,Automatique,8.0,,Hybride Rechargeable,162,https://www.sparkauto.tn/listing-detail/162/MercedesCLA250e,Mercedes CLA 250e
Ford,Mustang,2017,57000,Essence,Automatique,21.0,,1ere main,160,https://www.sparkauto.tn/listing-detail/159/FordMustang,Ford Mustang
MG,ZS,2022,41000,Essence,Automatique,7.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/158/MGZS,MG ZS
Audi,A3,2016,154000,Essence,Manuelle,6.0,,1ere main,154000,https://www.sparkauto.tn/listing-detail/145/AudiA3,Audi A3
Kia,sportage,2021,61000,Essence,Automatique,8.0,,1ere main,61000,https://www.sparkauto.tn/listing-detail/116/Kiasportage,Kia sportage
Mercedes,Classe A,2021,35500,Hybride,Automatique,8.0,,1ere main,114,https://www.sparkauto.tn/listing-detail/114/MercedesClasseA,Mercedes Classe A
Citroën,C3,2017,67000,Essence,Manuelle,4.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/113/CitroenC3,Citroën C3
Land Rover,Range Rover,2017,52000,Essence,Automatique,43.0,,2eme main,350,https://www.sparkauto.tn/listing-detail/106/LANDROVERRANGEROVER,Land Rover Range Rover
Chery,Tiggo 8,2022,49500,Essence,Automatique,9.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/100/CheryTiggo8,Chery Tiggo 8
BMW,X2,2018,38000,Essence,Automatique,7.0,,1ere main,132,https://www.sparkauto.tn/listing-detail/92/BMWX2,BMW X2
MG,HS,2021,78000,Essence,Automatique,10.0,,1ere main,500,https://www.sparkauto.tn/listing-detail/88/MGHS,MG HS
Volkswagen,Golf 7,2017,98500,Essence,Manuelle,5.0,,2ème main,500,https://www.sparkauto.tn/listing-detail/84/VolkswagenGolf7,Volkswagen Golf 7
Mercedes,Classe C,2022,46000,Essence,Automatique,9.0,,1ère main,197,https://www.sparkauto.tn/listing-detail/72/MercedesClasseC,Mercedes Classe C
